@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
610,'2023/06/12 00:10:25:488',13,732.823975,4234.21875,8414.507813,0,0,0,0,1
611,'2023/06/12 00:10:25:743',13,732.040344,4202.356445,8391.313477,0,0,0,0,1
612,'2023/06/12 00:10:26:004',13,731.332214,4183.539551,8381.46582,0,0,0,0,1
613,'2023/06/12 00:10:26:250',13,730.884033,4155.020996,8368.283203,0,0,0,0,1
614,'2023/06/12 00:10:26:426',13,729.806213,4116.379395,8353.350586,0,0,0,0,1
615,'2023/06/12 00:10:26:697',13,728.388,4102.403809,8340.50293,0,0,0,0,1
616,'2023/06/12 00:10:26:943',13,726.512207,4093.726563,8320.801758,0,0,0,0,1
617,'2023/06/12 00:10:27:194',13,724.53479,4077.083252,8301.867188,0,0,0,0,1
618,'2023/06/12 00:10:27:455',13,722.841919,4057.876465,8284.354492,0,0,0,0,1
619,'2023/06/12 00:10:27:706',13,721.73877,4037.038086,8278.087891,0,0,0,0,1
620,'2023/06/12 00:10:27:962',13,721.227417,4015.239746,8264.473633,0,0,0,0,1
621,'2023/06/12 00:10:28:223',13,720.155396,3999.875,8249.825195,0,0,0,0,1
622,'2023/06/12 00:10:28:474',13,718.800903,3989.412354,8240.038086,0,0,0,0,1
623,'2023/06/12 00:10:28:730',13,716.757385,3982.298096,8228.043945,0,0,0,0,1
624,'2023/06/12 00:10:28:991',13,714.774658,3968.34668,8214.790039,0,0,0,0,1
625,'2023/06/12 00:10:29:247',13,713.845459,3945.573486,8198.873047,0,0,0,0,1
626,'2023/06/12 00:10:29:498',13,712.757568,3935.689697,8185.743652,0,0,0,0,1
627,'2023/06/12 00:10:29:754',13,711.00415,3912.50293,8170.165039,0,0,0,0,1
628,'2023/06/12 00:10:29:924',13,709.390259,3895.648438,8154.270996,0,0,0,0,1
629,'2023/06/12 00:10:30:180',13,706.973083,3896.506104,8142.585449,0,0,0,0,1
