@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
7419,'2023/06/12 23:32:17:207',11,0,0,0,0,0,0,1,0,0,0
7420,'2023/06/12 23:32:17:219',11,0,0,0,0,0,0,1,0,0,0
7421,'2023/06/12 23:32:17:242',11,0,0,0,0,0,0,1,0,0,0
7422,'2023/06/12 23:32:17:254',11,0,0,0,0,0,0,1,0,0,0
7423,'2023/06/12 23:32:17:277',11,0,0,0,0,0,0,1,0,0,0
7424,'2023/06/12 23:32:17:288',11,0,0,0,0,0,0,1,0,0,0
7425,'2023/06/12 23:32:17:300',11,0,0,0,0,0,0,1,0,0,0
7426,'2023/06/12 23:32:17:324',11,0,0,0,0,0,0,1,0,0,0
7427,'2023/06/12 23:32:17:335',11,0,0,0,0,0,0,1,0,0,0
7428,'2023/06/12 23:32:17:347',11,0,0,0,0,0,0,1,0,0,0
7429,'2023/06/12 23:32:17:371',11,0,0,0,0,0,0,1,0,0,0
7430,'2023/06/12 23:32:17:382',11,0,0,0,0,0,0,1,0,0,0
7431,'2023/06/12 23:32:17:393',11,0,0,0,0,0,0,1,0,0,0
7432,'2023/06/12 23:32:17:416',11,0,0,0,0,0,0,1,0,0,0
7433,'2023/06/12 23:32:17:428',11,0,0,0,0,0,0,1,0,0,0
7434,'2023/06/12 23:32:17:440',11,0,0,0,0,0,0,1,0,0,0
7435,'2023/06/12 23:32:17:463',11,0,0,0,0,0,0,1,0,0,0
7436,'2023/06/12 23:32:17:474',11,0,0,0,0,0,0,1,0,0,0
7437,'2023/06/12 23:32:17:487',11,0,0,0,0,0,0,1,0,0,0
7438,'2023/06/12 23:32:17:509',11,0,0,0,0,0,0,1,0,0,0
7439,'2023/06/12 23:32:17:521',11,0,0,0,0,0,0,1,0,0,0
7458,'2023/06/12 23:32:17:823',11,0,0,0,0,0,0,1,0,0,0
7459,'2023/06/12 23:32:17:834',11,0,0,0,0,0,0,1,0,0,0
7460,'2023/06/12 23:32:17:846',11,0,0,0,0,0,0,1,0,0,0
7461,'2023/06/12 23:32:17:869',11,0,0,0,0,0,0,1,0,0,0
7462,'2023/06/12 23:32:17:881',11,0,0,0,0,0,0,1,0,0,0
7463,'2023/06/12 23:32:17:892',11,1.25001,6.694788,1.810766,2.864833,1.251026,0,1,0,0,0
7464,'2023/06/12 23:32:17:916',11,4.336176,36.219681,8.185002,9.367293,5.469383,0,1,0,0,0
7465,'2023/06/12 23:32:17:927',11,7.730035,82.880699,16.012724,16.551086,10.563581,0,1,0,0,0
7466,'2023/06/12 23:32:17:939',11,9.083632,124.652893,20.80892,18.950706,13.850764,0,1,0,0,0
7467,'2023/06/12 23:32:17:962',11,8.275459,122.064354,25.677799,16.929272,16.684269,0,1,0,0,0
7468,'2023/06/12 23:32:17:973',11,7.99788,81.956123,30.062363,15.650269,19.305689,0,1,0,0,0
7469,'2023/06/12 23:32:17:985',11,8.712093,74.79718,32.000511,16.088346,21.34306,0,1,0,0,0
7470,'2023/06/12 23:32:18:008',11,9.220268,96.797081,33.779949,17.00457,21.525238,0,1,0,0,0
7471,'2023/06/12 23:32:18:020',11,9.543043,99.639923,35.553402,18.437237,23.023666,0,1,0,0,0
7472,'2023/06/12 23:32:18:032',11,9.626493,97.966827,32.912853,21.641527,22.051014,0,1,0,0,0
7473,'2023/06/12 23:32:18:055',11,9.394989,107.225204,28.062742,24.114374,18.826387,0,1,0,0,0
