@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
213,'2023/06/13 10:16:23:278',3,0,0,0,0,0.11,0,0,0,0
214,'2023/06/13 10:16:23:302',3,482.83725,841.556641,482.83725,841.556641,0,0,0,0,0
215,'2023/06/13 10:16:23:322',3,0,0,0,0,0,0,0,0,0
216,'2023/06/13 10:16:23:349',3,756.407654,1020.060608,756.407654,1020.060608,0,0,0,0,0
217,'2023/06/13 10:16:23:376',3,546.148987,970.126648,546.148987,970.126648,0,0,0,0,0
218,'2023/06/13 10:16:23:395',3,0,0,0,0,0,0,0,0,0
219,'2023/06/13 10:16:23:421',3,0,0,0,0,0,0,0,0,0
220,'2023/06/13 10:16:23:441',3,0,0,0,0,0,0,0,0,0
221,'2023/06/13 10:16:23:467',3,0,0,0,0,0,0,0,0,0
222,'2023/06/13 10:16:23:487',3,0,0,0,0,0,0,0,0,0
223,'2023/06/13 10:16:23:511',3,0,0,0,0,0,0,0,0,0
224,'2023/06/13 10:16:23:537',3,0,0,0,0,0,0,0,0,0
225,'2023/06/13 10:16:23:556',3,0,0,0,0,0,0,0,0,0
226,'2023/06/13 10:16:23:584',3,491.909119,1196.238892,491.909119,1196.238892,0,0,0,0,0
227,'2023/06/13 10:16:23:603',3,0,0,0,0,0,0,0,0,0
228,'2023/06/13 10:16:23:629',3,0,0,0,0,0,0,0,0,0
229,'2023/06/13 10:16:23:650',3,0,0,0,0,0,0,0,0,0
230,'2023/06/13 10:16:23:675',3,0,0,0,0,0,0,0,0,0
231,'2023/06/13 10:16:23:700',3,0,0,0,0,0,0,0,0,0
232,'2023/06/13 10:16:23:720',3,0,0,0,0,0,0,0,0,0
233,'2023/06/13 10:16:23:747',3,353.653717,1037.675293,353.653717,1037.675293,0,0,0,0,0
234,'2023/06/13 10:16:23:770',3,0,0,364.208008,944.137756,0,0,0,0,0
235,'2023/06/13 10:16:23:793',3,362.193878,916.68042,362.193878,916.68042,0,0,0,0,0
236,'2023/06/13 10:16:23:816',3,378.679474,1110.658569,378.679474,1110.658569,0,0,0,0,0
237,'2023/06/13 10:16:23:837',3,434.306396,836.529175,434.306396,836.529175,0,0,0,0,0
238,'2023/06/13 10:16:23:857',3,0,0,0,0,0,0,0,0,0
239,'2023/06/13 10:16:23:883',3,0,0,0,0,0,0,0,0,0
240,'2023/06/13 10:16:23:904',3,0,0,0,0,0,0,0,0,0
241,'2023/06/13 10:16:23:931',3,0,0,0,0,0,0,0,0,0
242,'2023/06/13 10:16:23:956',3,359.417023,972.717957,359.417023,972.717957,0,0,0,0,0
243,'2023/06/13 10:16:23:975',3,316.183289,918.516602,316.183289,918.516602,0,0,0,0,0
244,'2023/06/13 10:16:24:001',3,0,0,0,0,0,0,0,0,0
245,'2023/06/13 10:16:24:020',3,0,0,0,0,0,0,0,0,0
246,'2023/06/13 10:16:24:046',3,0,0,0,0,0,0,0,0,0
247,'2023/06/13 10:16:24:065',3,0,0,0,0,0,0,0,0,0
248,'2023/06/13 10:16:24:095',3,0,0,0,0,0,0,0,0,0
